name,x,y,Cr (ppm),Mn (ppm),Fe (ppm),Ni (ppm),Cu (ppm),Zn (ppm),As (ppm),Pb (ppm)
AM 16.1 soil,-60.39859674,53.29551849,38,2149,20675,27,15,59,8,39
AM 16.3 soil,-60.39861828,53.29555538,87,688,27545,22,< LOD,19,4,25
AM 16.4 soil,-60.39864946,53.29559405,79,984,23585,24,10,30,< LOD,36
AM 16.6 soil,-60.39851233,53.29553033,57,1093,25465,18,6,33,< LOD,32
AM 16.7 soil,-60.39840505,53.29549686,< LOD,3911,18873,30,17,109,5,36
AM 16.8 soil,-60.39855592,53.29547302,42,665,22497,26,15,40,8,34
AM 16.9 soil,-60.39852776,53.29543675,50,1031,22271,23,16,61,5,26
AM 22.1 soil,-60.39883535,53.29558323,< LOD,4653,16665,26,23,162,8,55
AM 22.2 soil,-60.39889388,53.29556279,< LOD,2606,16841,31,17,71,7,26
AM 22.3 soil,-60.3989787,53.2955153,21,1080,17036,22,< LOD,46,6,31
AM 22.4 soil,-60.39880436,53.29553875,81,1697,23077,29,11,42,7,19
AM 22.5 soil,-60.39877515,53.29550393,40,1995,21989,28,12,69,6,25
AM 22.6 soil,-60.39876106,53.29559732,52,1240,19348,21,14,51,3,23
AM 22.7 soil,-60.39870109,53.29560367,< LOD,505,15425,19,6,20,4,14
AM 22.8 soil,-60.39884388,53.29562422,75,3548,26325,28,10,48,4,57
AM 22.9 soil,-60.39881039,53.29566359,< LOD,2091,11701,34,25,116,4,15
AM 24.1 soil,-60.38392916,53.29222014,82,829,25685,28,12,60,< LOD,25
AM 24.2 soil,-60.383958,53.29226945,96,705,27887,22,8,27,2,23
AM 24.3 soil,-60.38389664,53.29227947,57,1294,22260,29,6,61,7,23
AM 24.4 soil,-60.38405221,53.29216244,62,718,21411,28,18,40,< LOD,22
AM 24.5 soil,-60.38407601,53.29220572,79,603,25892,28,12,33,4,22
AM 30.1 soil,-60.38406481,53.29150553,49,1074,20805,25,10,436,6,18
AM 30.3 soil,-60.38406126,53.29153756,88,790,26794,22,15,54,< LOD,28
AM 30.4 soil,-60.38406531,53.29157586,92,909,31936,26,19,38,4,16
AM 30.5 soil,-60.384131,53.29148045,89,876,22420,20,9,385,6,16
AM 30.6 soil,-60.38420074,53.29146301,286,1343,58421,35,13,32,8,14
AM 30.7 soil,-60.38403276,53.29144337,113,922,39518,27,15,50,5,31
AM 30.8 soil,-60.38401332,53.2914073,96,881,30099,27,21,55,4,28
AM 42.1 soil,-60.38493149,53.292557,82,873,21467,24,24,372,10,93
AM 42.2 soil,-60.38493164,53.29260353,94,787,34032,29,24,237,< LOD,20
AM 42.3 soil,-60.38499869,53.29266024,62,852,22405,26,20,269,7,26
AM 42.5 soil,-60.3847982,53.29250793,73,804,28909,24,12,35,< LOD,20
AM 42.6 soil,-60.38485385,53.29254641,154,947,38231,27,17,30,< LOD,13
AM 42.7 soil,-60.38498595,53.29259752,163,931,45072,30,15,67,< LOD,18
AM 42.8 soil,-60.38505603,53.29259912,76,807,23098,24,19,237,3,22
AM 57.1 soil,-60.38453065,53.29274682,< LOD,1921,7626,25,24,149,< LOD,9
AM 58.1 soil,-60.38434752,53.29282161,60,1222,25887,30,24,81,6,61
AM 58.2 soil,-60.38427986,53.29282758,63,1341,24527,22,8,40,5,33
AM 58.3 soil,-60.38415279,53.29282598,83,715,27748,27,17,27,4,36
AM 58.4 soil,-60.38434122,53.29284101,< LOD,719,24787,22,9,30,5,33
AM 58.5 soil,-60.38437743,53.29285143,96,1104,27004,23,20,42,< LOD,28
AM 58.6 soil,-60.38431205,53.29271195,< LOD,900,6078,34,17,116,3,12
AM 58.7 soil,-60.38431942,53.29269351,< LOD,6770,38759,126,44,71,4,< LOD
AM 58.8 soil,-60.38445454,53.2927903,< LOD,1227,4711,19,21,101,< LOD,7
AM 59.1 soil,-60.38807505,53.29277,< LOD,673,6610,29,30,761,0,0
AM 59.2 soil,-60.3881124,53.29281956,82,876,30813,26,17,91,6,43
AM 59.3 soil,-60.38812481,53.29286265,91,888,29241,28,15,116,< LOD,31
AM 59.4 soil,-60.38801752,53.29278309,92,769,25541,32,24,293,5,74
AM 59.5 soil,-60.38793404,53.29279371,157,998,46285,27,40,94,< LOD,93
AM 59.6 soil,-60.38806681,53.29272738,170,1069,50962,42,117,327,17,237
AM 59.7 soil,-60.38805004,53.29268449,89,1027,41681,32,53,107,7,77
AM 59.8 soil,-60.38816135,53.29275623,160,907,40536,29,169,249,15,88
AM 59.9 soil,-60.38824081,53.2927378,115,767,34170,30,39,68,< LOD,71
AM 63.1 soil,-60.38758369,53.29300176,< LOD,826,19270,24,17,99,3,28
AM 63.2 soil,-60.38759105,53.29304261,143,873,38940,24,15,52,< LOD,29
AM 63.3 soil,-60.38759071,53.29309391,131,943,40921,31,50,184,10,181
AM 63.4 soil,-60.38751025,53.29300614,< LOD,667,19776,24,18,53,< LOD,17
AM 63.5 soil,-60.38743246,53.29301816,156,965,35345,26,17,32,4,17
AM 63.6 soil,-60.38758178,53.29294817,106,917,32681,28,14,66,< LOD,39
AM 63.7 soil,-60.38758535,53.29289892,< LOD,801,29615,21,15,51,4,29
AM 63.8 soil,-60.38766414,53.2929863,88,678,29334,22,17,51,4,30
AM 63.9 soil,-60.38774159,53.29297888,< LOD,730,29106,27,11,68,5,21
AM 70.1 soil,-60.38577291,53.29207188,54,874,27893,23,19,82,4,52
AM 70.2 soil,-60.38576044,53.29203037,106,1058,41103,27,28,76,< LOD,20
AM 70.3 soil,-60.38575005,53.29198528,< LOD,978,39508,31,27,41,5,14
AM 70.4 soil,-60.3856897,53.29208428,93,900,37008,24,17,33,2,11
AM 70.5 soil,-60.38563035,53.29210251,< LOD,878,38032,29,25,35,< LOD,22
AM 70.6 soil,-60.38583856,53.29205522,< LOD,719,25579,23,14,42,< LOD,35
AM 70.7 soil,-60.38590562,53.2920476,94,1029,44696,34,41,100,6,70
AM 70.8 soil,-60.38577553,53.29212235,< LOD,674,22626,28,15,314,3,34
AM 70.9 soil,-60.38578626,53.29216704,82,923,38158,28,17,35,6,11
AM 199.1 soil,-60.38837331,53.29286008,< LOD,1043,23587,25,13,144,6,26
AM 199.2 soil,-60.38840577,53.29290273,34,1211,19663,41,18,564,7,23
AM 199.3 soil,-60.38842354,53.2929398,< LOD,791,30596,22,12,129,4,18
AM 199.4 soil,-60.38829647,53.29287187,< LOD,796,26953,22,8,74,4,22
AM 199.5 soil,-60.3882435,53.2928901,91,871,32100,31,8,259,< LOD,27
AM 199.6 soil,-60.38835615,53.29281656,< LOD,725,24311,22,32,77,5,74
AM 199.7 soil,-60.38834777,53.29277207,< LOD,882,22730,29,14,216,< LOD,29
AM 199.8 soil,-60.38843963,53.29284401,< LOD,768,16088,37,5,866,8,37
AM 199.9 soil,-60.38850166,53.29282978,< LOD,682,19286,34,8,313,< LOD,12
AM 202.1 soil,-60.39765367,53.29436699,< LOD,3408,14991,28,15,86,5,19
AM 202.2 soil,-60.39758161,53.29438108,< LOD,619,15279,29,23,58,6,14
AM 202.3 soil,-60.39750986,53.29439109,< LOD,7400,9905,30,19,94,4,12
AM 202.4 soil,-60.39763793,53.29431635,< LOD,677,20152,25,< LOD,33,< LOD,20
AM 202.5 soil,-60.39763391,53.29427466,< LOD,1432,18741,31,8,75,4,9
AM 202.6 soil,-60.39773583,53.2943424,25,728,15727,21,18,48,5,21
AM 202.7 soil,-60.3978049,53.29432376,24,1007,13820,22,18,56,8,16
AM 202.8 soil,-60.39767984,53.29440592,< LOD,949,24743,27,14,44,< LOD,15
AM 202.9 soil,-60.39768521,53.29445362,122,1460,59335,38,45,56,< LOD,6
AM 206.1 soil,-60.38950868,53.29435667,121,1067,41376,26,< LOD,35,< LOD,22
AM 206.2 soil,-60.38954973,53.29433058,< LOD,1480,30321,26,13,38,4,31
AM 206.3 soil,-60.38960807,53.29430993,< LOD,764,27610,25,13,27,< LOD,10
AM 206.4 soil,-60.38947228,53.29430432,108,1365,35385,24,4,56,4,19
AM 206.5 soil,-60.38946759,53.29425402,< LOD,839,30014,24,< LOD,37,< LOD,15
AM 206.6 soil,-60.3895152,53.29438488,< LOD,632,17896,21,7,25,5,16
AM 206.7 soil,-60.389538,53.29441815,106,1341,33286,26,16,63,< LOD,17
AM 206.8 soil,-60.3894344,53.29433959,< LOD,1323,18797,28,8,125,< LOD,14
AM 206.9 soil,-60.38937874,53.29436124,107,1008,29523,22,10,60,< LOD,12
AM 209.1 soil,-60.3832404,53.29251102,< LOD,618,6426,23,18,95,3,< LOD
AM 209.2 soil,-60.38328577,53.29253298,< LOD,544,14028,22,17,41,2,7
AM 209.3 soil,-60.38329817,53.29257226,< LOD,469,10849,25,23,41,5,5
AM 209.4 soil,-60.3833364,53.29247607,< LOD,575,5256,21,13,40,< LOD,8
AM 209.6 soil,-60.38318485,53.29253078,39,530,18398,21,12,28,6,32
AM 209.7 soil,-60.38312618,53.29250112,31,408,16369,30,16,23,5,28
AM 212.1 soil,-60.38410537,53.29223234,< LOD,615,20304,34,19,51,4,16
AM 212.2 soil,-60.38423225,53.29217787,< LOD,948,33461,19,6,33,< LOD,18
AM 212.3 soil,-60.38414642,53.29227927,< LOD,859,26917,30,< LOD,29,4,16
