name,x,y,Mn (%) ,Mn (ppm)
AM 16.1 soil,-60.39859674,53.29551849,0.2149,2149
AM 16.3 soil,-60.39861828,53.29555538,0.0688,688
AM 16.4 soil,-60.39864946,53.29559405,0.0984,984
AM 16.6 soil,-60.39851233,53.29553033,0.1093,1093
AM 16.7 soil,-60.39840505,53.29549686,0.3911,3911
AM 16.8 soil,-60.39855592,53.29547302,0.0665,665
AM 16.9 soil,-60.39852776,53.29543675,0.1031,1031
AM 22.1 soil,-60.39883535,53.29558323,0.4653,4653
AM 22.2 soil,-60.39889388,53.29556279,0.2606,2606
AM 22.3 soil,-60.3989787,53.2955153,0.108,1080
AM 22.4 soil,-60.39880436,53.29553875,0.1697,1697
AM 22.5 soil,-60.39877515,53.29550393,0.1995,1995
AM 22.6 soil,-60.39876106,53.29559732,0.124,1240
AM 22.7 soil,-60.39870109,53.29560367,0.0505,505
AM 22.8 soil,-60.39884388,53.29562422,0.3548,3548
AM 22.9 soil,-60.39881039,53.29566359,0.2091,2091
AM 24.1 soil,-60.38392916,53.29222014,0.0829,829
AM 24.2 soil,-60.383958,53.29226945,0.0705,705
AM 24.3 soil,-60.38389664,53.29227947,0.1294,1294
AM 24.4 soil,-60.38405221,53.29216244,0.0718,718
AM 24.5 soil,-60.38407601,53.29220572,0.0603,603
AM 30.1 soil,-60.38406481,53.29150553,0.1074,1074
AM 30.3 soil,-60.38406126,53.29153756,0.079,790
AM 30.4 soil,-60.38406531,53.29157586,0.0909,909
AM 30.5 soil,-60.384131,53.29148045,0.0876,876
AM 30.6 soil,-60.38420074,53.29146301,0.1343,1343
AM 30.7 soil,-60.38403276,53.29144337,0.0922,922
AM 30.8 soil,-60.38401332,53.2914073,0.0881,881
AM 42.1 soil,-60.38493149,53.292557,0.0873,873
AM 42.2 soil,-60.38493164,53.29260353,0.0787,787
AM 42.3 soil,-60.38499869,53.29266024,0.0852,852
AM 42.5 soil,-60.3847982,53.29250793,0.0804,804
AM 42.6 soil,-60.38485385,53.29254641,0.0947,947
AM 42.7 soil,-60.38498595,53.29259752,0.0931,931
AM 42.8 soil,-60.38505603,53.29259912,0.0807,807
AM 57.1 soil,-60.38453065,53.29274682,0.1921,1921
AM 58.1 soil,-60.38434752,53.29282161,0.1222,1222
AM 58.2 soil,-60.38427986,53.29282758,0.1341,1341
AM 58.3 soil,-60.38415279,53.29282598,0.0715,715
AM 58.4 soil,-60.38434122,53.29284101,0.0719,719
AM 58.5 soil,-60.38437743,53.29285143,0.1104,1104
AM 58.6 soil,-60.38431205,53.29271195,0.09,900
AM 58.7 soil,-60.38431942,53.29269351,0.677,6770
AM 58.8 soil,-60.38445454,53.2927903,0.1227,1227
AM 59.1 soil,-60.38807505,53.29277,0.0673,673
AM 59.2 soil,-60.3881124,53.29281956,0.0876,876
AM 59.3 soil,-60.38812481,53.29286265,0.0888,888
AM 59.4 soil,-60.38801752,53.29278309,0.0769,769
AM 59.5 soil,-60.38793404,53.29279371,0.0998,998
AM 59.6 soil,-60.38806681,53.29272738,0.1069,1069
AM 59.7 soil,-60.38805004,53.29268449,0.1027,1027
AM 59.8 soil,-60.38816135,53.29275623,0.0907,907
AM 59.9 soil,-60.38824081,53.2927378,0.0767,767
AM 63.1 soil,-60.38758369,53.29300176,0.0826,826
AM 63.2 soil,-60.38759105,53.29304261,0.0873,873
AM 63.3 soil,-60.38759071,53.29309391,0.0943,943
AM 63.4 soil,-60.38751025,53.29300614,0.0667,667
AM 63.5 soil,-60.38743246,53.29301816,0.0965,965
AM 63.6 soil,-60.38758178,53.29294817,0.0917,917
AM 63.7 soil,-60.38758535,53.29289892,0.0801,801
AM 63.8 soil,-60.38766414,53.2929863,0.0678,678
AM 63.9 soil,-60.38774159,53.29297888,0.073,730
AM 70.1 soil,-60.38577291,53.29207188,0.0874,874
AM 70.2 soil,-60.38576044,53.29203037,0.1058,1058
AM 70.3 soil,-60.38575005,53.29198528,0.0978,978
AM 70.4 soil,-60.3856897,53.29208428,0.09,900
AM 70.5 soil,-60.38563035,53.29210251,0.0878,878
AM 70.6 soil,-60.38583856,53.29205522,0.0719,719
AM 70.7 soil,-60.38590562,53.2920476,0.1029,1029
AM 70.8 soil,-60.38577553,53.29212235,0.0674,674
AM 70.9 soil,-60.38578626,53.29216704,0.0923,923
AM 199.1 soil,-60.38837331,53.29286008,0.1043,1043
AM 199.2 soil,-60.38840577,53.29290273,0.1211,1211
AM 199.3 soil,-60.38842354,53.2929398,0.0791,791
AM 199.4 soil,-60.38829647,53.29287187,0.0796,796
AM 199.5 soil,-60.3882435,53.2928901,0.0871,871
AM 199.6 soil,-60.38835615,53.29281656,0.0725,725
