File #,DateTime,Method,ElapsedTime,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P,P Err,S,S Err,Cl,Cl Err,K2O,K2O Err,K,K Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Pt,Pt Err,Au,Au Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Multiplier,Cal Check,Unnamed1,Unnamed2,Unnamed3
bla ,bla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File #,DateTime,Method,ElapsedTime,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P,P Err,S,S Err,Cl,Cl Err,K2O,K2O Err,,,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Pt,Pt Err,Au,Au Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Multiplier,Cal Check,aaa,,
1467,3/13/23 15:15,Oxide3phase,90,1.2793,0.7204,< LOD,0.1185,0.0985,0.0476,< LOD,0.0087,< LOD,0.0075,0.0329,0.0177,0.168,0.0068,,,< LOD,0.0075,< LOD,0.0035,< LOD,0.002,< LOD,0.0011,0.0178,0.0013,< LOD,0.0009,< LOD,0.0004,0.0013,0.0004,0.0007,0.0002,0.0044,0.0003,< LOD,0.0003,< LOD,0.0001,0.0002,0.0001,0.0001,0.0001,0.001,0.0003,< LOD,0.0004,< LOD,0.001,< LOD,0.0005,< LOD,0.0015,< LOD,0.0008,0.0026,0.0015,< LOD,0.0006,< LOD,0.0004,< LOD,0.0011,< LOD,0.0022,< LOD,0,< LOD,0.0045,< LOD,0.0038,0.0103,0.0064,< LOD,0.0005,< LOD,0.0026,< LOD,0.0015,< LOD,0.0007,< LOD,0.0015,< LOD,0.0004,< LOD,0.0002,< LOD,0.0002,< LOD,0.0002,< LOD,0.0004,< LOD,0.0012,2,Passed,aaa,,
File #,DateTime,Method,ElapsedTime,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P,P Err,S,S Err,Cl,Cl Err,K2O,K2O Err,,,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Pt,Pt Err,,,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Multiplier,Cal Check,,,
1468,3/13/23 15:18,Oxide3phase,90,1.3303,0.7448,< LOD,0.1128,0.1995,0.0533,< LOD,0.0085,< LOD,0.0077,0.1197,0.0187,0.2018,0.0071,,,< LOD,0.0074,< LOD,0.0034,< LOD,0.0019,< LOD,0.0009,0.0073,0.0014,< LOD,0.0008,< LOD,0.0004,0.0014,0.0004,0.0007,0.0003,0.0084,0.0004,< LOD,0.0003,< LOD,0.0001,< LOD,0.0001,< LOD,0.0001,0.001,0.0003,< LOD,0.0004,< LOD,0.0009,< LOD,0.0005,0.0021,0.0014,< LOD,0.0008,< LOD,0.0014,< LOD,0.0006,< LOD,0.0005,< LOD,0.0012,< LOD,0.002,< LOD,0,< LOD,0.0047,< LOD,0.0039,< LOD,0.0068,< LOD,0.0006,< LOD,0.0027,< LOD,0.0016,0.0011,0.0006,,,< LOD,0.0003,< LOD,0.0002,0.0003,0.0002,< LOD,0.0002,< LOD,0.0004,< LOD,0.0012,2,Passed,,,
1469,3/13/23 15:21,Oxide3phase,90,0.7724,0.7223,< LOD,0.1084,0.2063,0.0529,< LOD,0.0086,< LOD,0.0079,< LOD,0.0179,0.1791,0.0071,,,< LOD,0.0078,< LOD,0.0035,< LOD,0.0021,< LOD,0.001,0.0153,0.0015,< LOD,0.0008,< LOD,0.0003,0.0022,0.0004,0.0007,0.0003,0.0065,0.0004,< LOD,0.0003,< LOD,0.0001,< LOD,0.0001,< LOD,0.0001,0.001,0.0003,< LOD,0.0004,< LOD,0.0009,< LOD,0.0005,< LOD,0.0014,< LOD,0.0008,0.0036,0.0014,< LOD,0.0006,< LOD,0.0005,< LOD,0.0012,< LOD,0.0021,< LOD,0,< LOD,0.0046,< LOD,0.0039,< LOD,0.0068,< LOD,0.0006,< LOD,0.0027,< LOD,0.0016,< LOD,0.0006,,,< LOD,0.0003,< LOD,0.0002,0.0005,0.0002,< LOD,0.0002,< LOD,0.0004,< LOD,0.0012,2,Passed,,,
File #,DateTime,Method,ElapsedTime,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P,P Err,S,S Err,Cl,Cl Err,K2O,K2O Err,,,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Pt,Pt Err,Au,Au Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Multiplier,Cal Check,,,
1470,3/13/23 15:23,Oxide3phase,90,1.1365,0.7361,< LOD,0.1036,0.1774,0.0498,< LOD,0.0083,< LOD,0.0076,0.079,0.0186,0.1755,0.007,,,0.0534,0.0079,< LOD,0.0034,< LOD,0.0019,< LOD,0.001,0.0108,0.0017,< LOD,0.0007,< LOD,0.0003,0.002,0.0004,< LOD,0.0003,0.0037,0.0003,< LOD,0.0003,< LOD,0.0001,< LOD,0.0001,0.0001,0.0001,0.0008,0.0003,< LOD,0.0004,< LOD,0.0009,< LOD,0.0005,< LOD,0.0014,< LOD,0.0008,0.0021,0.0014,< LOD,0.0006,< LOD,0.0005,< LOD,0.0012,< LOD,0.0021,< LOD,0,< LOD,0.0046,< LOD,0.0038,< LOD,0.0066,< LOD,0.0006,< LOD,0.0026,< LOD,0.0016,< LOD,0.0006,< LOD,0.0014,< LOD,0.0004,< LOD,0.0002,< LOD,0.0002,< LOD,0.0002,< LOD,0.0004,< LOD,0.0011,2,Passed,,,
File #,DateTime,Method,ElapsedTime,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P,P Err,S,S Err,Cl,Cl Err,K2O,K2O Err,,,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Rh,Rh Err,,,Ag,Ag Err,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Pt,Pt Err,,,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Multiplier,Cal Check,,,
